Region,count,normalized,source_sheet,8,allen_id,allen_acronym,allen_name,allen_parent,allen_major_division,allen_cortical_class,is_cortical,is_subcortical,allen_primary_group,thalamic_group,thalamic_subdivision,allen_path,mapping_type,count_pct_total,count_pct_brain,count_pct_thalamus
Ventral posteromedial nucleus of the thalamus,117,1.98372329603255,brain1,,733,VPM,Ventral posteromedial nucleus of the thalamus,Ventral posterior complex of the thalamus,Brain stem,,False,True,Thalamus,"Thalamus, sensory-motor cortex related",Ventral group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, sensory-motor cortex related"", ""Ventral group of the dorsal thalamus"", ""Ventral posterior complex of the thalamus"", ""Ventral posteromedial nucleus of the thalamus""]",exact,0.4147171416418545,1.9837232960325535,29.695431472081218
Retrosplenial area,100,1.69548999660902,brain1,,254,RSP,Retrosplenial area,Isocortex,Cerebrum,Isocortex,True,False,Cortex,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Retrosplenial area""]",exact,0.3544590954203885,1.69548999660902,0.0
Nucleus accumbens,76,1.28857239742286,brain1,,56,ACB,Nucleus accumbens,Striatum ventral region,Cerebrum,,False,True,Striatum,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Striatum"", ""Striatum ventral region"", ""Nucleus accumbens""]",exact,0.26938891251949526,1.2885723974228551,0.0
Ventral auditory area,69,1.16988809766022,brain1,,1018,AUDv,Ventral auditory area,Auditory areas,Cerebrum,Isocortex,True,False,Cortex,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Auditory areas"", ""Ventral auditory area""]",exact,0.24457677584006804,1.1698880976602237,0.0
Posterior complex of the thalamus,60,1.01729399796541,brain1,,1020,PO,Posterior complex of the thalamus,Lateral group of the dorsal thalamus,Brain stem,,False,True,Thalamus,"Thalamus, polymodal association cortex related",Lateral group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Lateral group of the dorsal thalamus"", ""Posterior complex of the thalamus""]",exact,0.2126754572522331,1.017293997965412,15.228426395939088
Parafascicular nucleus,56,0.949474398101051,brain1,,930,PF,Parafascicular nucleus,Intralaminar nuclei of the dorsal thalamus,Brain stem,,False,True,Thalamus,"Thalamus, polymodal association cortex related",Intralaminar nuclei of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Intralaminar nuclei of the dorsal thalamus"", ""Parafascicular nucleus""]",exact,0.19849709343541755,0.9494743981010513,14.213197969543149
Entorhinal area,49,0.83079009833842,brain1,,909,ENT,Entorhinal area,Retrohippocampal region,Cerebrum,Hippocampal formation,True,False,Cortex,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Hippocampal formation"", ""Retrohippocampal region"", ""Entorhinal area""]",exact,0.17368495675599036,0.8307900983384199,0.0
Posterior parietal association areas,45,0.762970498474059,brain1,,22,PTLp,Posterior parietal association areas,Isocortex,Cerebrum,Isocortex,True,False,Cortex,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Posterior parietal association areas""]",exact,0.15950659293917482,0.7629704984740591,0.0
Field CA1,44,0.746015598507969,brain1,,382,CA1,Field CA1,Ammon's horn,Cerebrum,Hippocampal formation,True,False,Cortex,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Hippocampal formation"", ""Hippocampal region"", ""Ammon's horn"", ""Field CA1""]",exact,0.15596200198497093,0.7460155985079688,0.0
Secondary motor area,42,0.712105798575788,brain1,,993,MOs,Secondary motor area,Somatomotor areas,Cerebrum,Isocortex,True,False,Cortex,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Somatomotor areas"", ""Secondary motor area""]",exact,0.14887282007656316,0.7121057985757884,0.0
Basic cell groups and regions,39,0.661241098677518,brain1,,8,grey,Basic cell groups and regions,root,,,False,False,Other,,,"[""root"", ""Basic cell groups and regions""]",exact,0.1382390472139515,0.6612410986775178,0.0
Olfactory tubercle,38,0.644286198711428,brain1,,754,OT,Olfactory tubercle,Striatum ventral region,Cerebrum,,False,True,Striatum,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Striatum"", ""Striatum ventral region"", ""Olfactory tubercle""]",exact,0.13469445625974763,0.6442861987114276,0.0
Dentate gyrus,30,0.508646998982706,brain1,,726,DG,Dentate gyrus,Hippocampal region,Cerebrum,Hippocampal formation,True,False,Cortex,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Hippocampal formation"", ""Hippocampal region"", ""Dentate gyrus""]",exact,0.10633772862611655,0.508646998982706,0.0
Substantia innominata,29,0.491692099016616,brain1,,342,SI,Substantia innominata,"Pallidum, ventral region",Cerebrum,,False,True,Pallidum,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Pallidum"", ""Pallidum, ventral region"", ""Substantia innominata""]",exact,0.10279313767191266,0.4916920990166158,0.0
Substantia nigra,29,0.491692099016616,brain1,,374,SNc,"Substantia nigra, compact part","Midbrain, behavioral state related",Brain stem,,False,True,Midbrain,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Midbrain"", ""Midbrain, behavioral state related"", ""Substantia nigra, compact part""]",override,0.10279313767191266,0.4916920990166158,0.0
Dorsal auditory area,28,0.474737199050526,brain1,,1011,AUDd,Dorsal auditory area,Auditory areas,Cerebrum,Isocortex,True,False,Cortex,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Auditory areas"", ""Dorsal auditory area""]",exact,0.09924854671770877,0.47473719905052564,0.0
Medial septal nucleus,27,0.457782299084435,brain1,,564,MS,Medial septal nucleus,Medial septal complex,Cerebrum,,False,True,Pallidum,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Pallidum"", ""Pallidum, medial region"", ""Medial septal complex"", ""Medial septal nucleus""]",exact,0.09570395576350489,0.4577822990844354,0.0
Primary auditory area,27,0.457782299084435,brain1,,1002,AUDp,Primary auditory area,Auditory areas,Cerebrum,Isocortex,True,False,Cortex,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Auditory areas"", ""Primary auditory area""]",exact,0.09570395576350489,0.4577822990844354,0.0
Temporal association areas,26,0.440827399118345,brain1,,541,TEa,Temporal association areas,Isocortex,Cerebrum,Isocortex,True,False,Cortex,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Temporal association areas""]",exact,0.09215936480930101,0.44082739911834523,0.0
Diagonal band nucleus,23,0.389962699220075,brain1,,596,NDB,Diagonal band nucleus,Medial septal complex,Cerebrum,,False,True,Pallidum,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Pallidum"", ""Pallidum, medial region"", ""Medial septal complex"", ""Diagonal band nucleus""]",exact,0.08152559194668936,0.3899626992200746,0.0
Claustrum,22,0.373007799253984,brain1,,583,CLA,Claustrum,Cortical subplate,Cerebrum,,False,False,Other,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical subplate"", ""Claustrum""]",exact,0.07798100099248546,0.3730077992539844,0.0
Field CA3,21,0.356052899287894,brain1,,463,CA3,Field CA3,Ammon's horn,Cerebrum,Hippocampal formation,True,False,Cortex,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Hippocampal formation"", ""Hippocampal region"", ""Ammon's horn"", ""Field CA3""]",exact,0.07443641003828158,0.3560528992878942,0.0
Postpiriform transition area,19,0.322143099355714,brain1,,566,TR,Postpiriform transition area,Olfactory areas,Cerebrum,Olfactory areas,True,False,Cortex,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Olfactory areas"", ""Postpiriform transition area""]",exact,0.06734722812987382,0.3221430993557138,0.0
Thalamus,19,0.322143099355714,brain1,,549,TH,Thalamus,Interbrain,Brain stem,,False,True,Thalamus,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus""]",exact,0.06734722812987382,0.3221430993557138,4.822335025380711
Posterior hypothalamic nucleus,18,0.305188199389624,brain1,,946,PH,Posterior hypothalamic nucleus,Hypothalamic medial zone,Brain stem,,False,True,Hypothalamus,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Hypothalamic medial zone"", ""Posterior hypothalamic nucleus""]",exact,0.06380263717566993,0.3051881993896236,0.0
Endopiriform nucleus,17,0.288233299423533,brain1,,942,EP,Endopiriform nucleus,Cortical subplate,Cerebrum,,False,False,Other,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical subplate"", ""Endopiriform nucleus""]",exact,0.06025804622146604,0.2882332994235334,0.0
Medial amygdalar nucleus,17,0.288233299423533,brain1,,403,MEA,Medial amygdalar nucleus,Striatum-like amygdalar nuclei,Cerebrum,,False,True,Striatum,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Striatum"", ""Striatum-like amygdalar nuclei"", ""Medial amygdalar nucleus""]",exact,0.06025804622146604,0.2882332994235334,0.0
Primary visual area,16,0.271278399457443,brain1,,385,VISp,Primary visual area,Visual areas,Cerebrum,Isocortex,True,False,Cortex,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Visual areas"", ""Primary visual area""]",exact,0.05671345526726216,0.2712783994574432,0.0
Ventral posterolateral nucleus of the thalamus,16,0.271278399457443,brain1,,718,VPL,Ventral posterolateral nucleus of the thalamus,Ventral posterior complex of the thalamus,Brain stem,,False,True,Thalamus,"Thalamus, sensory-motor cortex related",Ventral group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, sensory-motor cortex related"", ""Ventral group of the dorsal thalamus"", ""Ventral posterior complex of the thalamus"", ""Ventral posterolateral nucleus of the thalamus""]",exact,0.05671345526726216,0.2712783994574432,4.060913705583756
Midbrain reticular nucleus,15,0.254323499491353,brain1,,128,MRN,Midbrain reticular nucleus,"Midbrain, motor related",Brain stem,,False,True,Midbrain,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Midbrain"", ""Midbrain, motor related"", ""Midbrain reticular nucleus""]",exact,0.05316886431305828,0.254323499491353,0.0
Subparafascicular nucleus,15,0.254323499491353,brain1,,406,SPF,Subparafascicular nucleus,"Thalamus, sensory-motor cortex related",Brain stem,,False,True,Thalamus,"Thalamus, sensory-motor cortex related",Subparafascicular nucleus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, sensory-motor cortex related"", ""Subparafascicular nucleus""]",exact,0.05316886431305828,0.254323499491353,3.807106598984772
Anterior cingulate area,14,0.237368599525263,brain1,,31,ACA,Anterior cingulate area,Isocortex,Cerebrum,Isocortex,True,False,Cortex,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Anterior cingulate area""]",exact,0.04962427335885439,0.23736859952526282,0.0
Basolateral amygdalar nucleus,14,0.237368599525263,brain1,,295,BLA,Basolateral amygdalar nucleus,Cortical subplate,Cerebrum,,False,False,Other,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical subplate"", ""Basolateral amygdalar nucleus""]",exact,0.04962427335885439,0.23736859952526282,0.0
Central amygdalar nucleus,14,0.237368599525263,brain1,,536,CEA,Central amygdalar nucleus,Striatum-like amygdalar nuclei,Cerebrum,,False,True,Striatum,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Striatum"", ""Striatum-like amygdalar nuclei"", ""Central amygdalar nucleus""]",exact,0.04962427335885439,0.23736859952526282,0.0
Medial geniculate complex,14,0.237368599525263,brain1,,475,MG,Medial geniculate complex,"Geniculate group, dorsal thalamus",Brain stem,,False,True,Thalamus,"Thalamus, sensory-motor cortex related","Geniculate group, dorsal thalamus","[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, sensory-motor cortex related"", ""Geniculate group, dorsal thalamus"", ""Medial geniculate complex""]",exact,0.04962427335885439,0.23736859952526282,3.5532994923857872
Anteromedial visual area,13,0.220413699559173,brain1,,394,VISam,Anteromedial visual area,Visual areas,Cerebrum,Isocortex,True,False,Cortex,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Visual areas"", ""Anteromedial visual area""]",exact,0.046079682404650504,0.22041369955917262,0.0
Hypothalamus,12,0.203458799593082,brain1,,1097,HY,Hypothalamus,Interbrain,Brain stem,,False,True,Hypothalamus,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus""]",exact,0.04253509145044662,0.20345879959308238,0.0
Median preoptic nucleus,12,0.203458799593082,brain1,,452,MEPO,Median preoptic nucleus,Periventricular region,Brain stem,,False,True,Hypothalamus,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Periventricular region"", ""Median preoptic nucleus""]",exact,0.04253509145044662,0.20345879959308238,0.0
Superior colliculus,12,0.203458799593082,brain1,,302,SCs,"Superior colliculus, sensory related","Midbrain, sensory related",Brain stem,,False,True,Midbrain,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Midbrain"", ""Midbrain, sensory related"", ""Superior colliculus, sensory related""]",override,0.04253509145044662,0.20345879959308238,0.0
Ventral anterior-lateral complex of the thalamus,12,0.203458799593082,brain1,,629,VAL,Ventral anterior-lateral complex of the thalamus,Ventral group of the dorsal thalamus,Brain stem,,False,True,Thalamus,"Thalamus, sensory-motor cortex related",Ventral group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, sensory-motor cortex related"", ""Ventral group of the dorsal thalamus"", ""Ventral anterior-lateral complex of the thalamus""]",exact,0.04253509145044662,0.20345879959308238,3.0456852791878175
Cortical amygdalar area,11,0.186503899626992,brain1,,631,COA,Cortical amygdalar area,Olfactory areas,Cerebrum,Olfactory areas,True,False,Cortex,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Olfactory areas"", ""Cortical amygdalar area""]",exact,0.03899050049624273,0.1865038996269922,0.0
Lateral hypothalamic area,11,0.186503899626992,brain1,,194,LHA,Lateral hypothalamic area,Hypothalamic lateral zone,Brain stem,,False,True,Hypothalamus,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Hypothalamic lateral zone"", ""Lateral hypothalamic area""]",exact,0.03899050049624273,0.1865038996269922,0.0
Medial habenula,11,0.186503899626992,brain1,,483,MH,Medial habenula,Epithalamus,Brain stem,,False,True,Thalamus,"Thalamus, polymodal association cortex related",Epithalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Epithalamus"", ""Medial habenula""]",exact,0.03899050049624273,0.1865038996269922,2.7918781725888326
Medial preoptic area,11,0.186503899626992,brain1,,523,MPO,Medial preoptic area,Periventricular region,Brain stem,,False,True,Hypothalamus,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Periventricular region"", ""Medial preoptic area""]",exact,0.03899050049624273,0.1865038996269922,0.0
Perirhinal area,11,0.186503899626992,brain1,,922,PERI,Perirhinal area,Isocortex,Cerebrum,Isocortex,True,False,Cortex,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Perirhinal area""]",exact,0.03899050049624273,0.1865038996269922,0.0
Reticular nucleus of the thalamus,10,0.169548999660902,brain1,,262,RT,Reticular nucleus of the thalamus,"Thalamus, polymodal association cortex related",Brain stem,,False,True,Thalamus,"Thalamus, polymodal association cortex related",Reticular nucleus of the thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Reticular nucleus of the thalamus""]",exact,0.03544590954203885,0.169548999660902,2.5380710659898478
Striatum-like amygdalar nuclei,10,0.169548999660902,brain1,,278,sAMY,Striatum-like amygdalar nuclei,Striatum,Cerebrum,,False,True,Striatum,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Striatum"", ""Striatum-like amygdalar nuclei""]",exact,0.03544590954203885,0.169548999660902,0.0
Ventral tegmental area,10,0.169548999660902,brain1,,749,VTA,Ventral tegmental area,"Midbrain, motor related",Brain stem,,False,True,Midbrain,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Midbrain"", ""Midbrain, motor related"", ""Ventral tegmental area""]",exact,0.03544590954203885,0.169548999660902,0.0
Cerebral cortex,9,0.152594099694812,brain1,,688,CTX,Cerebral cortex,Cerebrum,Cerebrum,,False,False,Other,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex""]",exact,0.031901318587834966,0.1525940996948118,0.0
Midbrain,9,0.152594099694812,brain1,,313,MB,Midbrain,Brain stem,Brain stem,,False,True,Midbrain,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Midbrain""]",exact,0.031901318587834966,0.1525940996948118,0.0
Nucleus of reunions,9,0.152594099694812,brain1,,181,RE,Nucleus of reuniens,Midline group of the dorsal thalamus,Brain stem,,False,True,Thalamus,"Thalamus, polymodal association cortex related",Midline group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Midline group of the dorsal thalamus"", ""Nucleus of reuniens""]",approx,0.031901318587834966,0.1525940996948118,2.284263959390863
Anterolateral visual area,8,0.135639199728722,brain1,,402,VISal,Anterolateral visual area,Visual areas,Cerebrum,Isocortex,True,False,Cortex,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Visual areas"", ""Anterolateral visual area""]",exact,0.02835672763363108,0.1356391997287216,0.0
Anteromedial nucleus,8,0.135639199728722,brain1,,127,AM,Anteromedial nucleus,Anterior group of the dorsal thalamus,Brain stem,,False,True,Thalamus,"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Anterior group of the dorsal thalamus"", ""Anteromedial nucleus""]",exact,0.02835672763363108,0.1356391997287216,2.030456852791878
Lateral posterior nucleus of the thalamus,8,0.135639199728722,brain1,,218,LP,Lateral posterior nucleus of the thalamus,Lateral group of the dorsal thalamus,Brain stem,,False,True,Thalamus,"Thalamus, polymodal association cortex related",Lateral group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Lateral group of the dorsal thalamus"", ""Lateral posterior nucleus of the thalamus""]",exact,0.02835672763363108,0.1356391997287216,2.030456852791878
Piriform-amygdalar area,8,0.135639199728722,brain1,,788,PAA,Piriform-amygdalar area,Olfactory areas,Cerebrum,Olfactory areas,True,False,Cortex,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Olfactory areas"", ""Piriform-amygdalar area""]",exact,0.02835672763363108,0.1356391997287216,0.0
Ectorhinal area/Layer 1,7,0.118684299762631,brain1,,836,ECT1,Ectorhinal area/Layer 1,Ectorhinal area,Cerebrum,Isocortex,True,False,Cortex,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Ectorhinal area"", ""Ectorhinal area/Layer 1""]",exact,0.024812136679427194,0.11868429976263141,0.0
Infralimbic area,7,0.118684299762631,brain1,,44,ILA,Infralimbic area,Isocortex,Cerebrum,Isocortex,True,False,Cortex,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Infralimbic area""]",exact,0.024812136679427194,0.11868429976263141,0.0
Interpeduncular nucleus,7,0.118684299762631,brain1,,100,IPN,Interpeduncular nucleus,Midbrain raphe nuclei,Brain stem,,False,True,Midbrain,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Midbrain"", ""Midbrain, behavioral state related"", ""Midbrain raphe nuclei"", ""Interpeduncular nucleus""]",exact,0.024812136679427194,0.11868429976263141,0.0
Medial mammillary nucleus,7,0.118684299762631,brain1,,491,MM,Medial mammillary nucleus,Mammillary body,Brain stem,,False,True,Hypothalamus,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Hypothalamic medial zone"", ""Mammillary body"", ""Medial mammillary nucleus""]",exact,0.024812136679427194,0.11868429976263141,0.0
Nucleus of the optic tract,7,0.118684299762631,brain1,,628,NOT,Nucleus of the optic tract,Pretectal region,Brain stem,,False,True,Midbrain,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Midbrain"", ""Midbrain, motor related"", ""Pretectal region"", ""Nucleus of the optic tract""]",exact,0.024812136679427194,0.11868429976263141,0.0
Posterior limiting nucleus of the thalamus,6,0.101729399796541,brain1,,1029,POL,Posterior limiting nucleus of the thalamus,Lateral group of the dorsal thalamus,Brain stem,,False,True,Thalamus,"Thalamus, polymodal association cortex related",Lateral group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Lateral group of the dorsal thalamus"", ""Posterior limiting nucleus of the thalamus""]",exact,0.02126754572522331,0.10172939979654119,1.5228426395939088
Zona incerta,6,0.101729399796541,brain1,,797,ZI,Zona incerta,Hypothalamic lateral zone,Brain stem,,False,True,Hypothalamus,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Hypothalamic lateral zone"", ""Zona incerta""]",exact,0.02126754572522331,0.10172939979654119,0.0
Anteroventral periventricular nucleus,5,0.084774499830451,brain1,,272,AVPV,Anteroventral periventricular nucleus,Periventricular region,Brain stem,,False,True,Hypothalamus,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Periventricular region"", ""Anteroventral periventricular nucleus""]",exact,0.017722954771019424,0.084774499830451,0.0
Basomedial amygdalar nucleus,5,0.084774499830451,brain1,,319,BMA,Basomedial amygdalar nucleus,Cortical subplate,Cerebrum,,False,False,Other,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical subplate"", ""Basomedial amygdalar nucleus""]",exact,0.017722954771019424,0.084774499830451,0.0
