Region,count,normalized,Parent structure,Mid-level group,source_sheet,8,allen_id,allen_acronym,allen_name,allen_parent,allen_major_division,allen_cortical_class,is_cortical,is_subcortical,thalamic_group,thalamic_subdivision,allen_path
Posterior complex of the thalamus,60,1.01729399796541,Thalamus,Lateral thalamus,brain1,,1020,PO,Posterior complex of the thalamus,Lateral group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Lateral group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Lateral group of the dorsal thalamus"", ""Posterior complex of the thalamus""]"
Parafascicular nucleus,56,0.949474398101051,Thalamus,Intralaminar thalamus,brain1,,930,PF,Parafascicular nucleus,Intralaminar nuclei of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Intralaminar nuclei of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Intralaminar nuclei of the dorsal thalamus"", ""Parafascicular nucleus""]"
Entorhinal area,49,0.83079009833842,Cortex,Entorhinal / Parahippocampal,brain1,,909,ENT,Entorhinal area,Retrohippocampal region,Cerebrum,Hippocampal formation,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Hippocampal formation"", ""Retrohippocampal region"", ""Entorhinal area""]"
Posterior parietal association areas,45,0.762970498474059,Cortex,Visual cortex,brain1,,22,PTLp,Posterior parietal association areas,Isocortex,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Posterior parietal association areas""]"
Field CA1,44,0.746015598507969,Hippocampus,CA fields,brain1,,382,CA1,Field CA1,Ammon's horn,Cerebrum,Hippocampal formation,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Hippocampal formation"", ""Hippocampal region"", ""Ammon's horn"", ""Field CA1""]"
Secondary motor area,42,0.712105798575788,Cortex,Motor cortex,brain1,,993,MOs,Secondary motor area,Somatomotor areas,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Somatomotor areas"", ""Secondary motor area""]"
Basic cell groups and regions,39,0.661241098677518,Other,Other,brain1,,8,grey,Basic cell groups and regions,root,,,False,False,,,"[""root"", ""Basic cell groups and regions""]"
Olfactory tubercle,38,0.644286198711428,Striatum,Ventral striatum,brain1,,754,OT,Olfactory tubercle,Striatum ventral region,Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Striatum"", ""Striatum ventral region"", ""Olfactory tubercle""]"
Dentate gyrus,30,0.508646998982706,Hippocampus,Dentate gyrus,brain1,,726,DG,Dentate gyrus,Hippocampal region,Cerebrum,Hippocampal formation,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Hippocampal formation"", ""Hippocampal region"", ""Dentate gyrus""]"
Substantia innominata,29,0.491692099016616,Striatum,Ventral striatum,brain1,,342,SI,Substantia innominata,"Pallidum, ventral region",Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Pallidum"", ""Pallidum, ventral region"", ""Substantia innominata""]"
Substantia nigra,29,0.491692099016616,Midbrain,Dopaminergic nuclei,brain1,,374,SNc,"Substantia nigra, compact part","Midbrain, behavioral state related",Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Midbrain"", ""Midbrain, behavioral state related"", ""Substantia nigra, compact part""]"
Dorsal auditory area,28,0.474737199050526,Cortex,Auditory cortex,brain1,,1011,AUDd,Dorsal auditory area,Auditory areas,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Auditory areas"", ""Dorsal auditory area""]"
Medial septal nucleus,27,0.457782299084435,Septal area,Septal nuclei,brain1,,564,MS,Medial septal nucleus,Medial septal complex,Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Pallidum"", ""Pallidum, medial region"", ""Medial septal complex"", ""Medial septal nucleus""]"
Primary auditory area,27,0.457782299084435,Cortex,Auditory cortex,brain1,,1002,AUDp,Primary auditory area,Auditory areas,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Auditory areas"", ""Primary auditory area""]"
Temporal association areas,26,0.440827399118345,Cortex,Auditory cortex,brain1,,541,TEa,Temporal association areas,Isocortex,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Temporal association areas""]"
Diagonal band nucleus,23,0.389962699220075,Septal area,Septal nuclei,brain1,,596,NDB,Diagonal band nucleus,Medial septal complex,Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Pallidum"", ""Pallidum, medial region"", ""Medial septal complex"", ""Diagonal band nucleus""]"
Claustrum,22,0.373007799253984,Cortex,Prefrontal / Insular cortex,brain1,,583,CLA,Claustrum,Cortical subplate,Cerebrum,,False,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical subplate"", ""Claustrum""]"
Field CA3,21,0.356052899287894,Hippocampus,CA fields,brain1,,463,CA3,Field CA3,Ammon's horn,Cerebrum,Hippocampal formation,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Hippocampal formation"", ""Hippocampal region"", ""Ammon's horn"", ""Field CA3""]"
Postpiriform transition area,19,0.322143099355714,Cortex,Olfactory / Piriform cortex,brain1,,566,TR,Postpiriform transition area,Olfactory areas,Cerebrum,Olfactory areas,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Olfactory areas"", ""Postpiriform transition area""]"
Thalamus,19,0.322143099355714,Thalamus,General thalamus,brain1,,549,TH,Thalamus,Interbrain,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus""]"
Posterior hypothalamic nucleus,18,0.305188199389624,Hypothalamus,Lateral hypothalamus,brain1,,946,PH,Posterior hypothalamic nucleus,Hypothalamic medial zone,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Hypothalamic medial zone"", ""Posterior hypothalamic nucleus""]"
Endopiriform nucleus,17,0.288233299423533,Other,Other,brain1,,942,EP,Endopiriform nucleus,Cortical subplate,Cerebrum,,False,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical subplate"", ""Endopiriform nucleus""]"
Medial amygdalar nucleus,17,0.288233299423533,Amygdala,Central complex,brain1,,403,MEA,Medial amygdalar nucleus,Striatum-like amygdalar nuclei,Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Striatum"", ""Striatum-like amygdalar nuclei"", ""Medial amygdalar nucleus""]"
Primary visual area,16,0.271278399457443,Cortex,Visual cortex,brain1,,385,VISp,Primary visual area,Visual areas,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Visual areas"", ""Primary visual area""]"
Ventral posterolateral nucleus of the thalamus,16,0.271278399457443,Unknown,Unknown,brain1,,718,VPL,Ventral posterolateral nucleus of the thalamus,Ventral posterior complex of the thalamus,Brain stem,,False,True,"Thalamus, sensory-motor cortex related",Ventral group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, sensory-motor cortex related"", ""Ventral group of the dorsal thalamus"", ""Ventral posterior complex of the thalamus"", ""Ventral posterolateral nucleus of the thalamus""]"
Midbrain reticular nucleus,15,0.254323499491353,Midbrain,Reticular / Miscellaneous,brain1,,128,MRN,Midbrain reticular nucleus,"Midbrain, motor related",Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Midbrain"", ""Midbrain, motor related"", ""Midbrain reticular nucleus""]"
Subparafascicular nucleus,15,0.254323499491353,Midbrain,Reticular / Miscellaneous,brain1,,406,SPF,Subparafascicular nucleus,"Thalamus, sensory-motor cortex related",Brain stem,,False,True,"Thalamus, sensory-motor cortex related",Subparafascicular nucleus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, sensory-motor cortex related"", ""Subparafascicular nucleus""]"
Anterior cingulate area,14,0.237368599525263,Cortex,Prefrontal / Insular cortex,brain1,,31,ACA,Anterior cingulate area,Isocortex,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Anterior cingulate area""]"
Basolateral amygdalar nucleus,14,0.237368599525263,Amygdala,Basolateral complex,brain1,,295,BLA,Basolateral amygdalar nucleus,Cortical subplate,Cerebrum,,False,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical subplate"", ""Basolateral amygdalar nucleus""]"
Central amygdalar nucleus,14,0.237368599525263,Amygdala,Central complex,brain1,,536,CEA,Central amygdalar nucleus,Striatum-like amygdalar nuclei,Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Striatum"", ""Striatum-like amygdalar nuclei"", ""Central amygdalar nucleus""]"
Medial geniculate complex,14,0.237368599525263,Thalamus,Geniculate complex,brain1,,475,MG,Medial geniculate complex,"Geniculate group, dorsal thalamus",Brain stem,,False,True,"Thalamus, sensory-motor cortex related","Geniculate group, dorsal thalamus","[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, sensory-motor cortex related"", ""Geniculate group, dorsal thalamus"", ""Medial geniculate complex""]"
Anteromedial visual area,13,0.220413699559173,Cortex,Visual cortex,brain1,,394,VISam,Anteromedial visual area,Visual areas,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Visual areas"", ""Anteromedial visual area""]"
Hypothalamus,12,0.203458799593082,Hypothalamus,General hypothalamus,brain1,,1097,HY,Hypothalamus,Interbrain,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus""]"
Median preoptic nucleus,12,0.203458799593082,Hypothalamus,Preoptic region,brain1,,452,MEPO,Median preoptic nucleus,Periventricular region,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Periventricular region"", ""Median preoptic nucleus""]"
Superior colliculus,12,0.203458799593082,Midbrain,Colliculi,brain1,,302,SCs,"Superior colliculus, sensory related","Midbrain, sensory related",Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Midbrain"", ""Midbrain, sensory related"", ""Superior colliculus, sensory related""]"
Ventral anterior-lateral complex of the thalamus,12,0.203458799593082,Thalamus,Ventral thalamus,brain1,,629,VAL,Ventral anterior-lateral complex of the thalamus,Ventral group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, sensory-motor cortex related",Ventral group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, sensory-motor cortex related"", ""Ventral group of the dorsal thalamus"", ""Ventral anterior-lateral complex of the thalamus""]"
Cortical amygdalar area,11,0.186503899626992,Amygdala,Central complex,brain1,,631,COA,Cortical amygdalar area,Olfactory areas,Cerebrum,Olfactory areas,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Olfactory areas"", ""Cortical amygdalar area""]"
Lateral hypothalamic area,11,0.186503899626992,Hypothalamus,Lateral hypothalamus,brain1,,194,LHA,Lateral hypothalamic area,Hypothalamic lateral zone,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Hypothalamic lateral zone"", ""Lateral hypothalamic area""]"
Medial habenula,11,0.186503899626992,Midbrain,Habenula,brain1,,483,MH,Medial habenula,Epithalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Epithalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Epithalamus"", ""Medial habenula""]"
Medial preoptic area,11,0.186503899626992,Hypothalamus,Preoptic region,brain1,,523,MPO,Medial preoptic area,Periventricular region,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Periventricular region"", ""Medial preoptic area""]"
Perirhinal area,11,0.186503899626992,Cortex,Olfactory / Piriform cortex,brain1,,922,PERI,Perirhinal area,Isocortex,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Perirhinal area""]"
Reticular nucleus of the thalamus,10,0.169548999660902,Thalamus,Reticular thalamus,brain1,,262,RT,Reticular nucleus of the thalamus,"Thalamus, polymodal association cortex related",Brain stem,,False,True,"Thalamus, polymodal association cortex related",Reticular nucleus of the thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Reticular nucleus of the thalamus""]"
Striatum-like amygdalar nuclei,10,0.169548999660902,Amygdala,Central complex,brain1,,278,sAMY,Striatum-like amygdalar nuclei,Striatum,Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Striatum"", ""Striatum-like amygdalar nuclei""]"
Ventral tegmental area,10,0.169548999660902,Midbrain,Dopaminergic nuclei,brain1,,749,VTA,Ventral tegmental area,"Midbrain, motor related",Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Midbrain"", ""Midbrain, motor related"", ""Ventral tegmental area""]"
Cerebral cortex,9,0.152594099694812,Cortex,General cortex,brain1,,688,CTX,Cerebral cortex,Cerebrum,Cerebrum,,False,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex""]"
Midbrain,9,0.152594099694812,Midbrain,General midbrain,brain1,,313,MB,Midbrain,Brain stem,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Midbrain""]"
Nucleus of reunions,9,0.152594099694812,Thalamus,Medial thalamus,brain1,,181,RE,Nucleus of reuniens,Midline group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Midline group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Midline group of the dorsal thalamus"", ""Nucleus of reuniens""]"
Anterolateral visual area,8,0.135639199728722,Cortex,Visual cortex,brain1,,402,VISal,Anterolateral visual area,Visual areas,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Visual areas"", ""Anterolateral visual area""]"
Anteromedial nucleus,8,0.135639199728722,Thalamus,Intralaminar thalamus,brain1,,127,AM,Anteromedial nucleus,Anterior group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Anterior group of the dorsal thalamus"", ""Anteromedial nucleus""]"
Lateral posterior nucleus of the thalamus,8,0.135639199728722,Thalamus,Lateral thalamus,brain1,,218,LP,Lateral posterior nucleus of the thalamus,Lateral group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Lateral group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Lateral group of the dorsal thalamus"", ""Lateral posterior nucleus of the thalamus""]"
Piriform-amygdalar area,8,0.135639199728722,Amygdala,Central complex,brain1,,788,PAA,Piriform-amygdalar area,Olfactory areas,Cerebrum,Olfactory areas,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Olfactory areas"", ""Piriform-amygdalar area""]"
Ectorhinal area/Layer 1,7,0.118684299762631,Cortex,Olfactory / Piriform cortex,brain1,,836,ECT1,Ectorhinal area/Layer 1,Ectorhinal area,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Ectorhinal area"", ""Ectorhinal area/Layer 1""]"
Infralimbic area,7,0.118684299762631,Cortex,Prefrontal / Insular cortex,brain1,,44,ILA,Infralimbic area,Isocortex,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Infralimbic area""]"
Interpeduncular nucleus,7,0.118684299762631,Midbrain,Reticular / Miscellaneous,brain1,,100,IPN,Interpeduncular nucleus,Midbrain raphe nuclei,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Midbrain"", ""Midbrain, behavioral state related"", ""Midbrain raphe nuclei"", ""Interpeduncular nucleus""]"
Medial mammillary nucleus,7,0.118684299762631,Hypothalamus,Mammillary region,brain1,,491,MM,Medial mammillary nucleus,Mammillary body,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Hypothalamic medial zone"", ""Mammillary body"", ""Medial mammillary nucleus""]"
Nucleus of the optic tract,7,0.118684299762631,Midbrain,Colliculi,brain1,,628,NOT,Nucleus of the optic tract,Pretectal region,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Midbrain"", ""Midbrain, motor related"", ""Pretectal region"", ""Nucleus of the optic tract""]"
Posterior limiting nucleus of the thalamus,6,0.101729399796541,Thalamus,Lateral thalamus,brain1,,1029,POL,Posterior limiting nucleus of the thalamus,Lateral group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Lateral group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Lateral group of the dorsal thalamus"", ""Posterior limiting nucleus of the thalamus""]"
Zona incerta,6,0.101729399796541,Hypothalamus,Lateral hypothalamus,brain1,,797,ZI,Zona incerta,Hypothalamic lateral zone,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Hypothalamic lateral zone"", ""Zona incerta""]"
Anteroventral periventricular nucleus,5,0.084774499830451,Hypothalamus,Preoptic region,brain1,,272,AVPV,Anteroventral periventricular nucleus,Periventricular region,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Periventricular region"", ""Anteroventral periventricular nucleus""]"
Basomedial amygdalar nucleus,5,0.084774499830451,Amygdala,Basolateral complex,brain1,,319,BMA,Basomedial amygdalar nucleus,Cortical subplate,Cerebrum,,False,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical subplate"", ""Basomedial amygdalar nucleus""]"
Bed nuclei of the stria terminalis,5,0.084774499830451,Septal area,Septal nuclei,brain1,,351,BST,Bed nuclei of the stria terminalis,"Pallidum, caudal region",Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Pallidum"", ""Pallidum, caudal region"", ""Bed nuclei of the stria terminalis""]"
Dorsal part of the lateral geniculate complex,5,0.084774499830451,Thalamus,Geniculate complex,brain1,,170,LGd,Dorsal part of the lateral geniculate complex,"Geniculate group, dorsal thalamus",Brain stem,,False,True,"Thalamus, sensory-motor cortex related","Geniculate group, dorsal thalamus","[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, sensory-motor cortex related"", ""Geniculate group, dorsal thalamus"", ""Dorsal part of the lateral geniculate complex""]"
Dorsal premammillary nucleus,5,0.084774499830451,Hypothalamus,Mammillary region,brain1,,980,PMd,Dorsal premammillary nucleus,Hypothalamic medial zone,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Hypothalamic medial zone"", ""Dorsal premammillary nucleus""]"
Ectorhinal area/Layer 5,5,0.084774499830451,Cortex,Olfactory / Piriform cortex,brain1,,988,ECT5,Ectorhinal area/Layer 5,Ectorhinal area,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Ectorhinal area"", ""Ectorhinal area/Layer 5""]"
Lateral preoptic area,5,0.084774499830451,Hypothalamus,Preoptic region,brain1,,226,LPO,Lateral preoptic area,Hypothalamic lateral zone,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Hypothalamic lateral zone"", ""Lateral preoptic area""]"
Paraventricular nucleus of the thalamus,5,0.084774499830451,Thalamus,Intralaminar thalamus,brain1,,149,PVT,Paraventricular nucleus of the thalamus,Midline group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Midline group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Midline group of the dorsal thalamus"", ""Paraventricular nucleus of the thalamus""]"
